曜日,時限,科目名,担当教員,教室,学年,学期,単位,区分,URL,成績評価
月,"5","流体の力学２","太田　有／手塚　亜聖／藤澤　信道／宮川　和芳","",3,"fall",2,"専門必修","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2604013001012026260401300126&pLng=jp","割合\n評価基準\n\n\n試験:\n\n70％\n\n授業時間内に期末試験を実施する予定である．ただし，学生の理解度によっては，「リアルタイム演習」や「レポート提出」へ変更することもある．その場合には，成績評価方法や割合を，「授業への出席状況」，「演習結果」などに変更する場合もある．\nレポート:\n\n30％\n\n授業時間内に演習を行う場合や，課題としてレポートの提出を依頼する場合がある．"
火,"3,4","機械科学・航空宇宙実験2","荒尾　与史彦／太田　有／川田　宏之／権藤　詩織／齋藤　潔／佐藤　哲也／鈴木　進補／手塚　亜聖／内藤　健／能見　基彦／藤澤　信道／細井　厚志／宮川　和芳／柳尾　朋洋／山口　誠一／山下　浩司／吉村　浩明","",3,"fall",2,"専門必修","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2604013004012026260401300426&pLng=jp","割合\n評価基準\n\n\nレポート:\n\n80％\n\n詳細はガイダンス時に説明する．\n内容が不十分であるレポートや，不備，誤りがある場合には，再提出を要求する場合がある．\nまた，特に著しく内容が不備のレポートを提出した場合には，直ちに当該実験項目の成績を「不可」とする場合もあるので注意して欲しい．\n平常点評価:\n\n20％\n\n実験への出席状況，遅刻，欠席の状況によって評価する．"
月,"2","航空材料学","荒尾　与史彦／川田　宏之／権藤　詩織／鈴木　進補／細井　厚志","",2,"fall",2,"専門選択","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2604022001012026260402200126&pLng=jp","・第14回の期末試験，小テスト，出席回数により成績評価 \n・各担当教員の項目に対し，回数に応じた重みづけをして総合評価する\n・期末試験と小テストはおおむね同等の重みづけをする．"
水,"5","伝熱工学","天野　嘉春／齋藤　潔／山口　誠一","",3,"spring",2,"専門選択","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2604023002012026260402300226&pLng=jp","割合\n評価基準\n\n\n試験:\n\n100％\n\n通常試験期間中に行う試験によって"
火,"2","弾性力学","川田　宏之／細井　厚志","",3,"spring",2,"専門選択","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2604023003012026260402300326&pLng=jp","割合\n評価基準\n\n\n試験:\n\n80％\n\n教場試験を実施する。\nレポート:\n\n0％\n\n評価の対象とはしない\n平常点評価:\n\n20％\n\n出席点及び課題点。合格点を超えていても極端に平常点が低いと不合格となる場合がある。\nその他:\n\n0％\n\n評価の対象とはしない"
金,"3","精密工学","","",3,"",2,"専門選択","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2604023004012026260402300426&pLng=jp",""
木,"1","凝固・鋳造工学","鈴木　進補","",3,"spring",2,"専門選択","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2604024004012026260402400426&pLng=jp","・第１4回　期末試験\n・第２回～第１3回　に行う小テスト\n・期末試験50％，小テストの総合点50％"
水,"2","機械製図法Ａ","金井　晴詩／竹澤　晃弘／日比野　正／宮崎　裕也","",3,"fall",2,"専門選択","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2604022003012026260402200326&pLng=jp","全ての課題を提出し，合格したものに，単位を与える．"
火,"2","制御工学","齋藤　潔／山口　誠一","",3,"fall",2,"専門選択","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2604012015012026260401201526&pLng=jp","日常的に行われる演習と総括時の試験との両方を評価対象とする．"
月,"4","ターボ機械","太田　有／宮川　和芳","",3,"fall",2,"専門選択","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2604023001012026260402300126&pLng=jp","割合\n評価基準\n\n\n試験:\n\n50％\n\n教場試験結果を評価対象とする。\n\nレポート:\n\n0％\n\n \n平常点評価:\n\n50％\n\n小テストやレポートの結果を評価対象とする。"
水,"1,2","加工学・実習Ａ","竹澤　晃弘","",3,"fall",2,"専門選択","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2604023006012026260402300626&pLng=jp","出席、レポート、平常点などを勘案して評価する。"
火,"5","解析力学","吉村　浩明","",3,"fall",2,"専門選択","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2604023007012026260402300726&pLng=jp","理解度確認のための教場試験を行い，その成績とともに，授業中の演習課題の提出状況及びその内容を含めて総合的に評価します．"
