subject,credits,category,year,term,day,period,room,teacher,color,url
ディジタル放送技術,2,専門選択,3,fall,Mon,5,,,,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2607023024012025260702302426&pLng=jp
コミュニケーション品質理論,2,専門選択,3,fall,Tue,3,,,,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2603033029012025260702302726&pLng=jp
オペレーティングシステムB,2,専門選択,3,fall,Mon,5,,,,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2603033020012025260303302026&pLng=jp
情報社会論,2,専門選択,3,fall,Thu,5,,,,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2603032003012025260303200326&pLng=jp
モデリングとシミュレーション,2,専門選択,4,spring,Wed,5,,,,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2603034034012025260702400226&pLng=jp
ネットワークサービスとビジネスモデル,2,専門選択,4,spring,Fri,5,,,,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2603034035012025260702400326&pLng=jp
コンピュータグラフィクス,2,専門選択,4,spring,Mon,2,,,,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2603034010012025260303401026&pLng=jp
自然言語処理,2,専門選択,4,spring,Fri,1,,,,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2603034005012025260303400526&pLng=jp
画像情報特論,2,専門選択,4,spring,Fri,2,,,,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2603034015012025260702401326&pLng=jp
高信頼ソフトウェア,2,専門選択,4,spring,Wed,2,,,,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2603034016012025260303401626&pLng=jp
コンピュータ・アーキテクチャ特論,2,専門選択,4,spring,Mon,4,,,,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2603034018012025260303401826&pLng=jp
先端プロセッサ技術,2,専門選択,4,spring,Fri,3,,,,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2603034020012025260303402026&pLng=jp
無線通信ネットワーク,2,専門選択,4,spring,Mon,3,,,,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2603034022012025260702401726&pLng=jp
コンピュータービジョン,2,専門選択,4,spring,Tue,4,,,,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2603034025012025260303402526&pLng=jp
情報アクセス評価基盤,2,専門選択,4,spring,Tue,3,,,,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2603034029012025260303402926&pLng=jp
情報通信と国際標準化,2,専門選択,4,spring,Wed,5,,,,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2603034012012025260702402126&pLng=jp
先端情報通信技術とオープンイノベーション,2,専門選択,4,spring,Tue,5,,,,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2603034045012025260702402926&pLng=jp
基幹理工学特論B,2,専門選択,4,spring,Sun,1,,,,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2607024032012025260202401026&pLng=jp
基幹理工学特論C,2,専門選択,4,spring,Sun,2,,,,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2607024033012025260202401126&pLng=jp
衛星通信技術,2,専門選択,4,fall,Wed,5,,,,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2607023025012025260702302526&pLng=jp
移動通信技術,2,専門選択,4,fall,Fri,4,,,,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2607023026012025260702302626&pLng=jp
ソーシャルネットワークサイエンス,2,専門選択,4,fall,Thu,1,,,,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2607024005012025260702400526&pLng=jp
