曜日,時限,科目名,担当教員,教室,学年,学期,単位,区分,URL,成績評価
月,"4","確率統計概論Ａ","清水　泰隆","",3,"spring",2,"選択必修","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2602033001012026260203300126&pLng=jp","割合\n評価基準\n\n\n試験:\n\n60％\n\n期末試験を受けない場合，単位は出ません．\n\nレポート:\n\n10％\n\nほぼ毎回１，２題のレポートを課します．レポートの出来ではなく提出状況を重視し，成績の境界上にいる場合に考慮します．\n平常点評価:\n\n30％\n\n講義での発表や，積極的な取り組み（質問や発表など）で議論を活発にすることを評価します．\nどんな質問・コメントでも得点を与えます．成績の境界上にいる場合に大いに考慮します．\nその他:\n\n0％\n\nとくになし"
火,"5","応用トポロジー","大本　亨","",3,"spring",2,"選択必修","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2602013003012026260201300326&pLng=jp","平常点評価（30%）とレポート（70%）を総合的に判断する．"
月,"3","微分方程式と数理モデル","久藤　衡介","",3,"spring",2,"選択必修","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2602013004012026260201300426&pLng=jp","割合\n評価基準\n\n\n試験:\n\n60％\n\n中間試験20％，期末試験40％\nレポート:\n\n40％\n\n原則的に毎回の授業でレポート課題を課す．\n平常点評価:\n\n0％\n\n授業への出席を前提として，試験とレポートの評点に基づいて上記の割合で評価する．"
月,"1","コンピューティングの数理","関川　浩","",3,"spring",2,"選択必修","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2602033004012026260203300426&pLng=jp","割合\n評価基準\n\n\n試験:\n\n50％\n\n第14回目の授業中に試験を実施する．第1回から第13回の全範囲から基本的な問題を中心に出題し，理解度を確認する．\nレポート:\n\n25％\n\n前半（第6回まで）終了後，課題を提示する．基本的な事項が理解できているかどうかを評価する．\n平常点評価:\n\n25％\n\n演習問題の解答，説明状況を評価する．"
金,"2","数値計算Ａ","荻田　武史","",3,"spring",2,"選択必修","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2602033005012026260203300526&pLng=jp","平常点及びレポート課題で総合的に評価する。"
火,"5","確率統計概論Ｂ","劉　言","",3,"fall",2,"選択必修","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2602033002012026260203300226&pLng=jp","割合\n評価基準\n\n\n試験:\n\n40％\n\n教場試験の結果に基づき評価する。\nレポート:\n\n40％\n\n課題レポートの出来に基づき評価する。\n平常点評価:\n\n20％\n\n出席、課題に取り組む姿勢、工夫などで評価する。"
火,"1","関数解析入門","荻田　武史","",3,"fall",2,"選択必修","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2602033003012026260203300326&pLng=jp","平常点及びレポートで総合的に評価する。"
金,"4","数値計算Ｂ","柏木　雅英","",3,"fall",2,"選択必修","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2602033006012026260203300626&pLng=jp","割合\n評価基準\n\n\n試験:\n\n50％\n\n学期末試験を実施する。\nレポート:\n\n50％"
水,"3","関数論Ａ","金沢　篤","",2,"fall",2,"専門選択","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2601012009012026260101200926&pLng=jp","割合\n評価基準\n\n\n試験:\n\n60％\n\n期末試験\nレポート:\n\n40％\n\n中間レポート"
金,"3","測度論","三竹　大寿","",3,"spring,fall",4,"専門選択","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2601023009012026260102300926&pLng=jp","割合\n評価基準\n\n\n試験:\n\n80％\n\n教場試験(春学期期末試験 : 秋学期期末試験 =1:1\nレポート:\n\n10％\n\n一定の割合でレポートまたは演習を実施する\n平常点評価:\n\n10％\n\n一定の割合でレポートまたは演習を実施する\nその他:\n\n0％\n\nなし"
