曜日,時限,科目名,担当教員,教室,学年,学期,単位,区分,URL,成績評価
水,"3","コンピュータアーキテクチャＢ","笠原　博徳／木村　啓二","",3,"fall",2,"専門必修","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2603013006012026260301300626&pLng=jp","割合\n評価基準\n\n\n試験:\n\n60％\n\n試験は講義内容の理解度に応じて評価する．理解度の評価は解の導出を適切に説明できていることを重視する．\nレポート:\n\n25％\n\n実習内容と結果を適切に説明できていれば基準点とし，さらに独自で調査・実験を行いその内容が適切であれば追加得点とする．実習レポートは全て提出する必要がある。\n平常点評価:\n\n15％\n\n講義中に行う演習により評価する．\nその他:\n\n\n試験，レポート，平常点評価の割合は上記を基本とするが，履修者の理解度を踏まえ総合的に判断する．"
火,"2","プログラミング言語","寺内　多智弘","",3,"fall",2,"専門必修","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2603013007012026260301300726&pLng=jp","以下におよその比重を示します．\n理解度確認試験60%，\nレポート30%,\n出席点10%．"
月,"2","データベース","酒井　哲也","",3,"fall",2,"専門必修","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2603034001012026260303400126&pLng=jp","Students will be graded based solely on the 10 mini-assignments; please follow my instructions.\nEach assignment must be submitted to Waseda Moodle within one week after class (i.e. by Sunday).\nLate submissions will NOT be accepted.\nEarly submissions are encouraged; in this way, you will have a chance to correct your answer based on my feedback.\nHowever, if your initial answer is not satisfactory, some points will be deducted.\n\nStudents who submitted *less than* nine valid assignments will be given an F.\nThose who submitted at least nine valid assignments will be graded based on the total points earned,\nroughly according to the following distribution: A+:A:B:C=2:3:3:2.\n\n***\n\n成績は10件のミニ課題のみに基づき決定します。指示に従ってください。\n講義の一週間後（日曜日）までに各ミニ課題をWaseda Moodleに提出してください。\n期限外提出は受け付けません。\n早めの提出を推奨します。私からのフィードバックをもとに回答を訂正できるチャンスがあるためです。\nただし、最初の回答が正答でない場合は減点します。\n\n提出した有効なミニ課題の数が9に満たない学生はFとします。\n有効なミニ課題の数が9以上の学生について、\n合計点に基づきA+:A:B:C=2:3:3:2を目安に成績を付与します。"
火,"2","確率・統計概論","菅原　俊治","",2,"spring",2,"専門選択","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2603032002012026260303200226&pLng=jp","割合\n評価基準\n\n\n試験:\n\n60％\n\n試験（理解度確認）\nレポート:\n\n30％\n\nレポート（もしくは中間での教場試験）や教場での小テスト(Moodleを利用予定)。レポートは１−２回予定。\n平常点評価:\n\n10％\n\nビデオ視聴や資料のダウンロード日時などを総合して評価する"
月,"2","信号処理","前原　文明","",2,"spring",2,"専門選択","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2603032005012026260303200526&pLng=jp","割合\n評価基準\n\n\n試験:\n\n100％\n\n2回の理解度の確認により評価する．"
金,"3","情報理論Ａ","小林　哲則","",2,"spring",2,"専門選択","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2603032006012026260303200626&pLng=jp","割合\n評価基準\n\n\n試験:\n\n70％\n\n２回の理解度確認（教場テスト）を行う。\n解の導出方法を表層的に覚えているかどうかでなく，基本概念を深く理解できているかどうかを問う。\nその他:\n\n30％\n\n授業中，不定期に，小テストを課す。また，１−２回のレポートを課すことがある。"
水,"2","情報系の生命学","富永　大介／野口　保／山名　早人","",2,"fall",2,"専門選択","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2603032004012026260303200426&pLng=jp","割合\n評価基準\n\n\nレポート:\n\n100％\n\n14週目の講義時にレポート提出を課し理解度の確認を行う。"
水,"3","通信理論","嶋本　薫／前原　文明","",2,"fall",2,"専門選択","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2603032009012026260303200926&pLng=jp","評価は「理解度の確認」により評価することを基本とするが，詳細，方法等は講義の中で提示していく．"
木,"2","最適化アルゴリズム","笠井　裕之／小林　哲則","",3,"spring",2,"専門選択","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2603033002012026260701301026&pLng=jp","割合\n評価基準\n\n\n試験:\n\n90％\n\n（前半: 50%）教場試験（理解度の確認）を行う。\n（後半: 40%）教場試験（理解度の確認）を行う。\n\nレポート:\n\n\n\n\n平常点評価:\n\n10％\n\n（前半）無し\n（後半）毎回の授業において，理解の確認のため簡単な少テストを行う．"
金,"1","トラヒック理論","内田　真人","",3,"spring",2,"専門選択","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2603033006012026260303300626&pLng=jp","割合\n評価基準\n\n\n試験:\n\n75％\n\n7月1７日に実施する教場試験（理解度の確認）による評価\n平常点評価:\n\n25％\n\n授業内レポートによる評価"
火,"4","人工知能","菅原　俊治","",3,"spring",2,"専門選択","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2603034040012026260303404026&pLng=jp","割合\n評価基準\n\n\n試験:\n\n60％\n\n定期試験。基本的な内容が獲得できているかを確認します。\n（場合によっては、中間で教場試験を行う可能性もあります）。\nレポート:\n\n35％\n\n実験・演習（プログラム作成）を中心のレポートを書く。プログラム実行結果について各自でレポートないで考察する。\n平常点評価:\n\n5％\n\n出席や資料のダウンロードの履歴などを参考にする。"
木,"5,6","IoTシステム設計","笠原　博徳／木村　啓二／史　又華／戸川　望／山名　早人","",3,"spring",3,"専門選択","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2603034039012026260303403926&pLng=jp","毎回の実習の進捗レポート及び各グループが実際に制作したシステムを成果物として要求し，これら成果物100%により最終評価を決定する．\n成果物は全ての提出が必要である．"
