曜日,時限,科目名,担当教員,教室,学年,学期,単位,区分,URL,成績評価
水,"4","芸術：線・構造・色彩","升谷　絵里香","",2,"fall",2,"専門選択","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2606022009012026260602200926&pLng=jp","作品（オリジナリティ、完成度）、意欲\n提出作品は、本講義で新しく作成したものを提出すること。\n以前制作したものや他の授業で制作した作品の提出は認められません。"
金,"4","現代アート表現論","升谷　絵里香","",3,"spring",2,"専門選択","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2606023002012026260602300226&pLng=jp","作品（オリジナリティ、完成度）、ステイトメント、意欲及び出席率\n提出作品は、本講義で新しく制作したものを提出すること。\n以前制作したものや他の授業で制作した作品の提出は認められません。"
木,"2,3","写真表現I","井上　浩輝／及川　靖広","",3,"spring",4,"専門選択","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2606023007012026260602300726&pLng=jp","割合\n評価基準\n\n\n試験:\n\n0％\n\n試験は実施しない。\nレポート:\n\n50％\n\n授業内で課される撮影課題やレポート、および写真展プロジェクトに向けた最終制作物（提出作品のクオリティ）を評価対象とする。\n回数の変更があり得る。詳細は講義中に案内をする。\n平常点評価:\n\n50％\n\n出席状況、授業態度、写真展プロジェクトへの参加姿勢（企画・設営・撤収・在廊等）を総合的に評価する。\n\n＜注意事項＞\n* 本講義は実習を多く含むため、欠席や遅刻、中抜けなどが目立つ場合には、平常点を大きく減点する。\n* 出席確認は、通常の出欠記録システムに加え、授業内で不定期に行う点呼や課題提出等をもって総合的に判断する。\n* 他の講義や活動との兼ね合いで、授業の優先順位（軽重）を判断したくなる場面もあるかもしれない。しかし、大学教育とはそれらの時間を自律的に管理し、総合的に学ぶ場である。履修した以上は、その点を失念することなく、すべての授業時間を大切にする姿勢を強く求める。この姿勢についても平常点として評価する。\n\nその他:\n\n0％\n\nなし。"
水,"3","様相と論理","郡司　幸夫","",3,"spring",2,"専門選択","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2606023046012026260602304626&pLng=jp","割合\n評価基準\n\n\n試験:\n\n0％\n\n様相、論理をどのように簡単な構造として表すかみたい\nレポート:\n\n50％\n\n \n平常点評価:\n\n50％\n\n出席の際の簡単な小テスト"
火,"5,7","映像制作実習I","是枝　裕和／篠崎　誠／土田　環","",3,"spring",4,"専門選択","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2606023055012026260602305526&pLng=jp","割合\n評価基準\n\n\n試験:\n\n0％\n\n特になし。授業内で行うプレゼンテーションや課題により総合的に評価を行う。\nレポート:\n\n25％\n\n課題\n平常点評価:\n\n25％\n\n授業での積極性\nその他:\n\n50％\n\nプレゼンテーション、脚本"
木,"2,3","写真表現II","井上　浩輝／及川　靖広","",3,"fall",4,"専門選択","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2606023008012026260602300826&pLng=jp","割合\n評価基準\n\n\n試験:\n\n0％\n\n試験は実施しない。\nレポート:\n\n50％\n\n授業内で課される撮影課題やレポート、および写真展プロジェクトに向けた最終制作物（提出作品のクオリティ）を評価対象とする。AIRDO広告課題（コンセプトの明確さと仕上がり）、チェキ写真展・フォトブック（制約の中での工夫と構成力）など。\n平常点評価:\n\n50％\n\n出席状況、授業態度、写真展プロジェクトへの参加姿勢（企画・設営・撤収・在廊等）を総合的に評価する。\n\n＜注意事項＞\n* 本講義は実習を多く含むため、欠席や遅刻、中抜けなどが目立つ場合には、平常点を大きく減点する。\n* 出席確認は、通常の出欠記録システムに加え、授業内で不定期に行う点呼や課題提出等をもって総合的に判断する。\n* なお、傷病、忌引、公欠、および学会発表や就職活動などキャリア形成に関わる不可避な事由については、事前の相談と所定の手続き（疎明及び出席に代える撮影実習レポート等の提出）に基づき、不利益とならないよう柔軟に配慮する。\n* 他の講義や活動との兼ね合いで、授業の優先順位（軽重）を判断したくなる場面もあるかもしれない。しかし、大学教育とはそれらの時間を自律的に管理し、総合的に学ぶ場である。履修した以上は、その点を失念することなく、すべての授業時間を大切にする姿勢を強く求める。この姿勢についても平常点として評価する。\n** 本講義「写真表現Ⅱ」は、インプット中心の学習から、アウトプット中心の実践へと移行するフェーズです。 みなさんが将来直面する実社会の課題には、必ず「制約」が存在します。予算、時間、場所、あるいは法律といった制約を、創造性を阻害する壁としてではなく、解決すべき条件として楽しむ姿勢を持ってください。 また、本講義で扱うプロジェクトは、実際に企業や多くの鑑賞者が関わる「本番」の環境です。学生という甘えを捨て、一人の表現者・技術者として、他者に対する責任感と敬意を持ってプロジェクト完遂に取り組むことを強く求めます。\n\n\nその他:\n\n0％\n\nなし。"
金,"1,2","CG制作","福里　司","",3,"fall",4,"専門選択","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2606023010012026260602301026&pLng=jp","平常点及び期末に実施する制作物のプレゼンテーションで評価を行う。"
月,"1,2","インタラクションデザイン","橋田　朋子","",3,"spring",2,"専門選択","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2606023028012026260602302826&pLng=jp","・成績には2/3以上の出席をお願いしています．\n・基本的には平常点（授業中の課題や発表）を重視し，最後にレポートがあります．\nAttendance of at least two-thirds of the classes is required to receive a grade. Assignments and presentations during class are also given significant weight."
月,"4","クロマチック制作実習","ジャック　ジェームズ","",3,"fall",2,"専門選択","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2606023060012026260602306026&pLng=jp","割合\n評価基準\n\n\n試験:\n\n50％\n\n制作、作品過程\n平常点評価:\n\n50％\n\n参加、エンゲージ"
火,"5,7","映像制作実習II","是枝　裕和／篠崎　誠／高木　創／土田　環","",3,"fall",4,"専門選択","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2606023056012026260602305626&pLng=jp","割合\n評価基準\n\n\n試験:\n\n0％\n\n特になし。共同作業への取り組みや作品の完成度により評価する。\n各パートの責任をきちんと果たしていることを基準とする。\nレポート:\n\n25％\n\n課題\n平常点評価:\n\n25％\n\n授業での積極性\nその他:\n\n50％\n\n作品"
